date,Country,confirmed_cases
"Jun 26, 2020",Brazil,1228114
"Jun 26, 2020",United_States_of_America,2422310
"Jun 27, 2020",Brazil,1274974
"Jun 27, 2020",India,508953
"Jun 27, 2020",United_States_of_America,2467837
"Jun 28, 2020",India,528859
"Jun 28, 2020",Brazil,1313667
"Jun 28, 2020",United_States_of_America,2510323
"Jun 29, 2020",United_States_of_America,2548996
"Jun 29, 2020",India,548318
"Jun 29, 2020",Brazil,1344143
"Jun 30, 2020",India,566840
"Jun 30, 2020",Brazil,1368195
"Jun 30, 2020",United_States_of_America,2590552
"Jul 1, 2020",Brazil,1402041
"Jul 1, 2020",India,585493
"Jul 1, 2020",United_States_of_America,2634432
"Jul 2, 2020",India,604641
"Jul 2, 2020",Brazil,1448753
"Jul 2, 2020",United_States_of_America,2686480
"Jul 3, 2020",India,625544
"Jul 3, 2020",United_States_of_America,2739879
"Jul 3, 2020",Brazil,1496858
"Jul 4, 2020",India,648315
"Jul 4, 2020",United_States_of_America,2794321
"Jul 4, 2020",Brazil,1539081
"Jul 5, 2020",India,673165
"Jul 5, 2020",United_States_of_America,2839542
"Jul 5, 2020",Brazil,1577004
"Jul 6, 2020",United_States_of_America,2888635
"Jul 6, 2020",India,697413
"Jul 6, 2020",Brazil,1603055
"Jul 7, 2020",India,719665
"Jul 7, 2020",Brazil,1623284
"Jul 7, 2020",United_States_of_America,2938625
"Jul 8, 2020",India,742417
"Jul 8, 2020",Brazil,1668589
"Jul 8, 2020",United_States_of_America,2996098
"Jul 9, 2020",India,767296
"Jul 9, 2020",Brazil,1713160
"Jul 9, 2020",United_States_of_America,3055004
"Jul 10, 2020",India,793802
"Jul 10, 2020",Brazil,1755779
"Jul 10, 2020",United_States_of_America,3118008
"Jul 11, 2020",India,820916
"Jul 11, 2020",Brazil,1800827
"Jul 11, 2020",United_States_of_America,3184633
"Jul 12, 2020",India,849553
"Jul 12, 2020",Brazil,1839850
"Jul 12, 2020",United_States_of_America,3247684
"Jul 13, 2020",India,878254
"Jul 13, 2020",Brazil,1864681
"Jul 13, 2020",United_States_of_America,3304942
"Jul 14, 2020",United_States_of_America,3363056
"Jul 14, 2020",India,906752
"Jul 14, 2020",Brazil,1884967
"Jul 15, 2020",India,936181
"Jul 15, 2020",Brazil,1926824
"Jul 15, 2020",United_States_of_America,3431574
"Jul 16, 2020",India,968876
"Jul 16, 2020",Brazil,1966748
"Jul 16, 2020",United_States_of_America,3499291
"Jul 17, 2020",India,1003832
"Jul 17, 2020",Brazil,2012151
"Jul 17, 2020",United_States_of_America,3576221
"Jul 18, 2020",United_States_of_America,3647715
"Jul 18, 2020",India,1038716
"Jul 18, 2020",Brazil,2046328
"Jul 19, 2020",India,1077618
"Jul 19, 2020",Brazil,2074860
"Jul 19, 2020",United_States_of_America,3711464
"Jul 20, 2020",India,1118043
"Jul 20, 2020",Brazil,2098389
"Jul 20, 2020",United_States_of_America,3773260
"Jul 21, 2020",India,1155191
"Jul 21, 2020",Brazil,2118646
"Jul 21, 2020",United_States_of_America,3830010
"Jul 22, 2020",United_States_of_America,3902058
"Jul 22, 2020",India,1192915
"Jul 22, 2020",Brazil,2159654
"Jul 23, 2020",India,1238635
"Jul 23, 2020",Brazil,2227514
"Jul 23, 2020",United_States_of_America,3970906
"Jul 24, 2020",India,1287945
"Jul 24, 2020",Brazil,2287475
"Jul 24, 2020",United_States_of_America,4034102
"Jul 25, 2020",India,1336861
"Jul 25, 2020",Brazil,2343366
"Jul 25, 2020",United_States_of_America,4112529
"Jul 26, 2020",India,1385522
"Jul 26, 2020",Brazil,2394513
"Jul 26, 2020",United_States_of_America,4178027
"Jul 27, 2020",India,1435453
"Jul 27, 2020",Brazil,2419091
"Jul 27, 2020",United_States_of_America,4234020
"Jul 28, 2020",India,1483156
"Jul 28, 2020",Brazil,2442375
"Jul 28, 2020",United_States_of_America,4290263
"Jul 29, 2020",India,1531669
"Jul 29, 2020",Brazil,2483191
"Jul 29, 2020",United_States_of_America,4351997
"Jul 30, 2020",United_States_of_America,4426982
"Jul 30, 2020",India,1583792
"Jul 30, 2020",Brazil,2552265
"Jul 31, 2020",India,1638870
"Jul 31, 2020",Brazil,2610102
"Jul 31, 2020",United_States_of_America,4495014
"Aug 1, 2020",India,1695988
"Aug 1, 2020",Brazil,2662485
"Aug 1, 2020",United_States_of_America,4562037
"Aug 2, 2020",India,1750723
"Aug 2, 2020",Brazil,2707877
"Aug 2, 2020",United_States_of_America,4620444
"Aug 3, 2020",United_States_of_America,4667955
"Aug 3, 2020",India,1803695
"Aug 3, 2020",Brazil,2733677
"Aug 4, 2020",India,1855745
"Aug 4, 2020",Brazil,2750318
"Aug 4, 2020",United_States_of_America,4713562
"Aug 5, 2020",India,1908254
"Aug 5, 2020",Brazil,2801921
"Aug 5, 2020",United_States_of_America,4771087
"Aug 6, 2020",India,1964536
"Aug 6, 2020",Brazil,2859073
"Aug 6, 2020",United_States_of_America,4823891
"Aug 7, 2020",India,2027074
"Aug 7, 2020",Brazil,2912212
"Aug 7, 2020",United_States_of_America,4883646
"Aug 8, 2020",India,2088611
"Aug 8, 2020",Brazil,2962442
"Aug 8, 2020",United_States_of_America,4941796
"Aug 9, 2020",India,2153010
"Aug 9, 2020",Brazil,3012412
